# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.JAVA.time.ns,1787283395727000000,1787283419134000000,255062793
lexer.JAVA.time.ns,1787283395727000000,1787283419134000000,9887775
parser.textmate.time.ns,1787283395727000000,1787283419134000000,1471513
parser.JAVA.size.bytes,1787283395727000000,1787283419134000000,778
writeAction.wait.ms,1787283395727000000,1787283419134000000,6
parser.JSON.size.bytes,1787283395727000000,1787283419134000000,0
lexer.yaml.time.ns,1787283395727000000,1787283419134000000,94621
parser.textmate.size.bytes,1787283395727000000,1787283419134000000,1145
lexer.textmate.time.ns,1787283395727000000,1787283419134000000,19140
writeAction.max.wait.ms,1787283395727000000,1787283419134000000,4
lexer.yaml.size.bytes,1787283395727000000,1787283419134000000,0
parser.JSON.time.ns,1787283395727000000,1787283419134000000,21579014
lexer.JSON.time.ns,1787283395727000000,1787283419134000000,61911
lexer.JSON.size.bytes,1787283395727000000,1787283419134000000,0
parser.yaml.size.bytes,1787283395727000000,1787283419134000000,0
writeAction.count,1787283395727000000,1787283419134000000,15
parser.yaml.time.ns,1787283395727000000,1787283419134000000,264722
lexer.textmate.size.bytes,1787283395727000000,1787283419134000000,1145
lexer.JAVA.size.bytes,1787283395727000000,1787283419134000000,778
writeAction.median.wait.ms,1787283395727000000,1787283419134000000,0
VFS.fileByIdCache.hits,1787283395727000000,1787283419134000000,0
VFS.invertedFileNameIndex.requests,1787283395727000000,1787283419134000000,6
VFS.fileChildByName,1787283395727000000,1787283419134000000,2073
VFS.fileByIdCache.misses,1787283395727000000,1787283419134000000,37
JVM.maxHeapBytes,1787283395727000000,1787283419134000000,2147483648
JVM.maxThreadCount,1787283395727000000,1787283419134000000,115
JVM.threadCount,1787283395727000000,1787283419134000000,103
JVM.usedHeapBytes,1787283395727000000,1787283419134000000,313324032
JVM.totalCpuTimeMs,1787283395727000000,1787283419134000000,72350
OS.loadAverage,1787283395727000000,1787283419134000000,3.31005859375
JVM.usedNativeBytes,1787283395727000000,1787283419134000000,308128664
JVM.totalDirectByteBuffersBytes,1787283395727000000,1787283419134000000,45872820
JVM.GC.collectionTimesMs,1787283395727000000,1787283419134000000,287
JVM.GC.collections,1787283395727000000,1787283419134000000,24
JVM.totalBytesAllocated,1787283395727000000,1787283419134000000,1079696512
JVM.newThreadsCount,1787283395727000000,1787283419134000000,131
cacheStateStorage.set.duration,1787283395727000000,1787283419134000000,13
cacheStateStorage.get.duration,1787283395727000000,1787283419134000000,690
cacheStateStorage.set.counter,1787283395727000000,1787283419134000000,5
cacheStateStorage.get.counter,1787283395727000000,1787283419134000000,23
jps.global.initialize.library.bridges.ms,1787283395727000000,1787283419134000000,0
workspaceModel.sync.entities.ms,1787283395727000000,1787283419134000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1787283395727000000,1787283419134000000,0
jps.project.serializers.load.ms,1787283395727000000,1787283419134000000,54
